zhen: 1 robot_money: 0 || boat_money: 0
zhen: 2 robot_money: 0 || boat_money: 0
zhen: 3 robot_money: 0 || boat_money: 0
zhen: 4 robot_money: 0 || boat_money: 0
zhen: 5 robot_money: 0 || boat_money: 0
zhen: 6 robot_money: 0 || boat_money: 0
zhen: 7 robot_money: 0 || boat_money: 0
zhen: 8 robot_money: 0 || boat_money: 0
zhen: 9 robot_money: 0 || boat_money: 0
zhen: 10 robot_money: 0 || boat_money: 0
zhen: 11 robot_money: 0 || boat_money: 0
zhen: 12 robot_money: 0 || boat_money: 0
zhen: 13 robot_money: 0 || boat_money: 0
zhen: 14 robot_money: 0 || boat_money: 0
zhen: 15 robot_money: 0 || boat_money: 0
zhen: 16 robot_money: 0 || boat_money: 0
zhen: 17 robot_money: 0 || boat_money: 0
zhen: 18 robot_money: 0 || boat_money: 0
zhen: 19 robot_money: 0 || boat_money: 0
zhen: 20 robot_money: 0 || boat_money: 0
zhen: 21 robot_money: 0 || boat_money: 0
zhen: 22 robot_money: 0 || boat_money: 0
zhen: 23 robot_money: 0 || boat_money: 0
zhen: 24 robot_money: 0 || boat_money: 0
zhen: 25 robot_money: 0 || boat_money: 0
zhen: 26 robot_money: 0 || boat_money: 0
zhen: 27 robot_money: 0 || boat_money: 0
zhen: 28 robot_money: 0 || boat_money: 0
zhen: 29 robot_money: 0 || boat_money: 0
zhen: 30 robot_money: 0 || boat_money: 0
zhen: 31 robot_money: 0 || boat_money: 0
zhen: 32 robot_money: 0 || boat_money: 0
zhen: 33 robot_money: 0 || boat_money: 0
zhen: 34 robot_money: 0 || boat_money: 0
zhen: 35 robot_money: 0 || boat_money: 0
zhen: 36 robot_money: 0 || boat_money: 0
zhen: 37 robot_money: 0 || boat_money: 0
zhen: 38 robot_money: 0 || boat_money: 0
zhen: 39 robot_money: 0 || boat_money: 0
zhen: 40 robot_money: 0 || boat_money: 0
zhen: 41 robot_money: 0 || boat_money: 0
zhen: 42 robot_money: 0 || boat_money: 0
zhen: 43 robot_money: 0 || boat_money: 0
zhen: 44 robot_money: 0 || boat_money: 0
zhen: 45 robot_money: 0 || boat_money: 0
zhen: 46 robot_money: 0 || boat_money: 0
zhen: 47 robot_money: 0 || boat_money: 0
zhen: 48 robot_money: 0 || boat_money: 0
zhen: 49 robot_money: 0 || boat_money: 0
zhen: 50 robot_money: 0 || boat_money: 0
zhen: 51 robot_money: 0 || boat_money: 0
zhen: 52 robot_money: 0 || boat_money: 0
zhen: 53 robot_money: 0 || boat_money: 0
zhen: 54 robot_money: 0 || boat_money: 0
